name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mexico city,2023-06-29,31,14.1,18.5,30.3,14.1,18.5,12.7,70.1,1,100,8.33,rain,0,0,21.6,22.3,92.2,1015,87.3,11.7,160.8,13.7,7,10,2023-06-29T06:01:21,2023-06-29T19:18:45,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999"
mexico city,2023-06-30,31.1,15.9,20.3,30.5,15.9,20.3,11.6,59.4,0.1,100,4.17,rain,0,0,42.4,27.7,122.3,1016.4,84.1,15.3,238.9,20.6,10,10,2023-06-30T06:01:39,2023-06-30T19:18:51,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
mexico city,2023-07-01,26.5,13.1,19.7,26.5,13.1,19.7,12.1,63.8,0.462,100,20.83,rain,0,0,53.6,25.8,65.2,1016.4,74,12.5,279.5,24.2,10,10,2023-07-01T06:01:57,2023-07-01T19:18:55,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
mexico city,2023-07-02,27.2,12.1,19.7,27.8,12.1,19.7,11.9,63.6,8.109,100,16.67,rain,0,0,32.4,26,111.4,1014.7,60.7,13.7,318.4,27.6,10,10,2023-07-02T06:02:16,2023-07-02T19:18:59,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMTO,76675099999,MMMX"
mexico city,2023-07-03,28.9,12.1,19.3,29.6,12.1,19.3,11.7,64.3,1.022,100,8.33,rain,0,0,18.7,26,359.7,1014.3,74.5,11.2,323.3,27.9,10,10,2023-07-03T06:02:35,2023-07-03T19:19:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
mexico city,2023-07-04,26.5,13,19.7,26.5,13,19.7,12.5,65.7,9.4,100,12.5,rain,0,0,32.4,33.4,322.7,1015.7,86.3,8,287.6,24.9,10,10,2023-07-04T06:02:55,2023-07-04T19:19:04,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-07-05,26.4,12.7,19.5,26.4,12.7,19.5,13.3,68.7,17.2,100,12.5,rain,0,0,40.7,27.6,24.5,1015,90.1,11.3,261.6,22.6,10,10,2023-07-05T06:03:14,2023-07-05T19:19:04,0.58,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
mexico city,2023-07-06,25.7,13,18.9,25.7,13,18.9,13.6,72.2,3.01,100,8.33,rain,0,0,25.2,22.1,337.9,1015.7,89.5,10.6,187.5,16.3,8,10,2023-07-06T06:03:35,2023-07-06T19:19:04,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-07-07,26.2,12.1,19.2,26.2,12.1,19.2,13.2,70.5,4.5,100,8.33,rain,0,0,25.2,33.3,48.1,1013.2,85,10.3,201.8,17.5,10,10,2023-07-07T06:03:55,2023-07-07T19:19:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMMX,76675099999"
mexico city,2023-07-08,26.8,13,18.9,26.6,13,18.9,13.2,71.3,16.114,100,12.5,rain,0,0,48.2,28.7,314.8,1016.3,86.9,7.4,258.7,22.4,10,10,2023-07-08T06:04:16,2023-07-08T19:19:01,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMMX,MMTO,76675099999"
